timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715176704519,1715176704506,BINANCE,BNBUSDT,585.57,0.82,585.58,0.57,585.59,2.4,585.6,5.25,585.61,3.25,585.62,0.6,585.63,1.74,585.64,1.48,585.65,0.04,585.66,1.02,585.56,14.41,585.55,8.18,585.54,2.34,585.53,5.85,585.52,28.58,585.51,31.97,585.5,18.68,585.49,16.87,585.48,55.55,585.47,0.02
1715176704744,1715176704734,BINANCE,SOLUSDT,147.613,52,147.614,11,147.616,29,147.618,15,147.619,1,147.62,17,147.621,15,147.622,1,147.623,1,147.624,5,147.612,10,147.608,3,147.607,4,147.606,1,147.604,4,147.603,1,147.601,4,147.6,3,147.599,1,147.598,1
1715176704768,1715176704756,BINANCE,ETHUSDT,3031.26,23.994,3031.5,0.007,3031.6,0.049,3031.61,0.009,3031.62,4.61,3031.63,9.424,3031.65,0.263,3031.7,0.007,3031.72,0.261,3031.73,0.565,3031.25,28.292,3031.23,0.11,3031.22,0.008,3031.2,2.906,3031.16,0.009,3031.13,0.049,3031.12,2,3031.11,219.378,3031.1,14.758,3031.09,3.181
1715176704796,1715176704784,BINANCE,BNBUSDT,585.57,3.9,585.58,0.57,585.59,2.4,585.6,5.25,585.61,3.25,585.62,0.6,585.63,1.74,585.64,1.48,585.65,0.04,585.66,1.02,585.56,15.05,585.55,8.18,585.54,2.34,585.52,28.58,585.51,31.89,585.5,18.68,585.49,69.5,585.48,0.6,585.47,0.02,585.46,1.31
1715176705012,1715176704999,BINANCE,SOLUSDT,147.62,86,147.621,15,147.627,4,147.628,38,147.629,10,147.63,15,147.631,4,147.632,20,147.634,10,147.635,1,147.619,89,147.618,1,147.617,60,147.616,97,147.615,9,147.614,56,147.613,69,147.612,64,147.611,2,147.61,1
1715176705028,1715176705018,BINANCE,ETHUSDT,3031.71,5.719,3031.83,2,3031.87,2.322,3031.9,0.016,3031.92,0.02,3031.93,1.865,3031.94,6.096,3031.95,39.892,3031.96,0.015,3031.98,0.031,3031.7,26.621,3031.69,8.763,3031.64,0.256,3031.62,0.009,3031.61,1.2,3031.6,16.036,3031.56,0.079,3031.52,0.056,3031.51,44.7,3031.5,21.117
1715176705074,1715176705073,BINANCE,BNBUSDT,585.61,1.63,585.62,4.74,585.63,5.03,585.64,0.57,585.65,1.8,585.66,4.75,585.67,8.67,585.68,3.89,585.69,0.24,585.7,0.69,585.6,2,585.59,8.88,585.58,15.82,585.57,22.05,585.56,14.97,585.55,0.69,585.54,2.36,585.53,55.45,585.52,12.92,585.51,11.18
1715176705270,1715176705257,BINANCE,SOLUSDT,147.62,72,147.621,15,147.627,21,147.63,1,147.631,11,147.632,17,147.633,2,147.634,10,147.635,1,147.636,2,147.619,42,147.616,30,147.615,3,147.614,29,147.613,41,147.612,60,147.611,2,147.61,1,147.608,31,147.607,4
1715176705289,1715176705283,BINANCE,ETHUSDT,3031.71,46.678,3031.87,2.322,3031.9,0.016,3031.92,0.02,3031.93,1.865,3031.94,6.096,3031.95,39.892,3031.96,0.015,3031.98,0.031,3031.99,9.338,3031.7,48.579,3031.69,215.009,3031.65,0.078,3031.62,0.116,3031.61,40.793,3031.6,16.036,3031.55,29.448,3031.52,0.225,3031.5,0.014,3031.49,4
1715176705327,1715176705315,BINANCE,BNBUSDT,585.62,2.68,585.63,1.81,585.64,1.26,585.65,1.8,585.66,7.1,585.67,8.67,585.68,3.89,585.69,0.23,585.7,5.81,585.71,0.02,585.61,11.73,585.6,6.02,585.59,5.28,585.58,7.77,585.57,11.09,585.56,14.24,585.55,0.69,585.54,19.68,585.53,55.43,585.52,4.95
1715176705529,1715176705529,BINANCE,SOLUSDT,147.618,123,147.619,123,147.62,106,147.621,15,147.622,1,147.623,1,147.624,3,147.625,3,147.626,20,147.627,15,147.617,1,147.615,1,147.613,1,147.612,5,147.611,2,147.607,1,147.606,1,147.604,4,147.603,13,147.602,61
1715176705549,1715176705536,BINANCE,ETHUSDT,3031.61,72.071,3031.69,2.886,3031.7,16.029,3031.71,36.178,3031.86,0.299,3031.87,2,3031.9,0.016,3031.92,0.22,3031.93,1.865,3031.94,6.096,3031.6,20.145,3031.56,0.015,3031.52,0.064,3031.5,0.014,3031.49,0.061,3031.48,0.015,3031.46,0.018,3031.44,0.015,3031.43,0.007,3031.41,6.889
1715176705578,1715176705564,BINANCE,BNBUSDT,585.61,23.45,585.62,6.72,585.63,1.8,585.64,1.26,585.65,1.8,585.66,7.1,585.67,8.67,585.68,3.89,585.69,0.23,585.7,0.69,585.6,0.98,585.59,0.77,585.57,4.54,585.56,14.23,585.55,0.76,585.54,2.36,585.53,69.75,585.52,4.95,585.51,11.18,585.5,10.44
1715176705779,1715176705769,BINANCE,SOLUSDT,147.613,131,147.614,96,147.615,57,147.616,116,147.618,146,147.619,95,147.62,98,147.621,15,147.622,1,147.623,1,147.612,19,147.611,1,147.61,1,147.608,3,147.607,3,147.605,10,147.604,3,147.603,2,147.601,4,147.6,26
1715176705799,1715176705788,BINANCE,ETHUSDT,3031.61,83.27,3031.7,2.007,3031.71,1.111,3031.72,0.049,3031.86,0.299,3031.87,2,3031.9,0.016,3031.91,0.27,3031.92,0.22,3031.93,1.865,3031.6,5.659,3031.56,0.015,3031.52,0.064,3031.5,0.014,3031.49,0.061,3031.48,0.015,3031.46,0.018,3031.44,0.015,3031.43,1.407,3031.41,6.628
